fluid reward multiplier,,,,,,,,,,,,,,,,,,,,,
10,,,,,,,,,,,,,,,,,,,,,
0 run #,1 left reward,2 right reward,3 stim left image,4 stim left sound,5 stim right image,6 stim right sound,7 itd (sec),8 decision (sec),9 stim  (sec),10 points (sec),5-Nov,4-Dec,13 -2,14 -1,15 0,16 1,17 2,18 3,19 4,20 startPoint,21 Left is aversive
73,0,2,images/PI/8130_PoleVaulter.gif,sounds/IADSPA/352_SportsCrowd.mp3,images/NI/3130_Mutilation.gif,sounds/Freesound/mandying.mp3,1,4,6,2,L,L,L,R,L,L,R,R,R,1,0
74,2,0,images/PI/2310_Mother.gif,sounds/Freesound/eio.mp3,images/PI/2310_Mother.gif,sounds/Freesound/eio.mp3,1,4,6,2,R,L,L,L,R,R,R,R,L,2,3
75,0,0,images/NI/6560_Attack.gif,sounds/IADSNA/279_Attack1.mp3,images/PI/4603_Romance.gif,sounds/IADSPA/230_Giggling.mp3,1,4,6,2,L,L,L,L,R,R,R,R,R,-2,1
76,0,2,images/PI/4598_Couple.gif,sounds/Freesound/manlaugh.mp3,images/NI/9421_Soldier.gif,sounds/AudioMicro/ManCrying.mp3,1,4,6,2,L,R,L,L,L,R,R,L,R,-1,0
77,4,0,images/NI/3080_Mutilation.gif,sounds/IADSNA/287_CardiacArrest.mp3,images/PI/2485_Man.gif,sounds/IADSPA/811_Bach.mp3,1,4,6,2,L,L,R,R,R,L,L,R,R,2,1
78,6,0,images/NI/3102_BurnVictim.gif,sounds/Freesound/Anguish.mp3,images/PI/8280_Diver.gif,sounds/PartnersinRhyme/Cheer.mp3,1,4,6,2,L,L,L,L,L,R,R,R,R,-3,1
79,2,0,images/PI/5455_Cockpit.gif,sounds/Freesound/atc6.mp3,images/PI/5455_Cockpit.gif,sounds/Freesound/atc6.mp3,1,4,6,2,L,L,L,R,R,L,R,R,R,-3,3
80,0,0,images/PI/2208_Bride.gif,sounds/IADSPA/820_FunkMusic.mp3,images/NI/9921_Fire.gif,sounds/Freesound/Hellfire.mp3,1,4,6,2,R,L,R,L,L,R,L,R,L,4,0
81,6,0,images/NI/2800_SadChild.gif,sounds/Freesound/three_chords.mp3,images/PI/2240_NeutChild.gif,sounds/IADSPA/225_ClapGame.mp3,1,4,6,2,L,R,L,R,R,L,R,L,R,1,1
82,0,2,images/PI/4700_Couple.gif,sounds/Freesound/mansighs.mp3,images/NI/6350_Attack.gif,sounds/IADSNA/285_Attack2.mp3,1,4,6,2,L,L,R,L,R,R,L,R,R,-3,0
83,0,0,images/NI/9265_HungMan.gif,sounds/Freesound/mandying.mp3,images/PI/8050_Rower.gif,sounds/Freesound/rower.mp3,1,4,6,2,L,L,L,L,L,R,R,R,R,-3,1
84,0,2,images/PI/5201_Nature.gif,sounds/IADSPA/152_Tropical.mp3,images/PI/5201_Nature.gif,sounds/IADSPA/152_Tropical.mp3,1,4,6,2,L,R,L,R,R,L,R,L,R,-1,3
85,4,0,images/NI/3150_Mutilation.gif,sounds/Freesound/panic&pain.mp3,images/PI/7503_carddealer.gif,sounds/IADSPA/361_Restaurant.mp3,1,4,6,2,L,L,R,L,L,R,L,R,R,3,1
86,0,0,images/PI/7496_Street.gif,sounds/Freesound/Tibetstreet.mp3,images/NI/9252_DeadBody.gif,sounds/IADSNA/292_MaleScream.mp3,1,4,6,2,L,L,L,R,R,L,R,R,R,-1,0
87,2,0,images/PI/2372_Woman.gif,sounds/Freesound/chalkwriting.mp3,images/PI/2372_Woman.gif,sounds/Freesound/chalkwriting.mp3,1,4,6,2,L,L,L,L,R,R,R,R,R,-4,3
88,0,6,images/PI/8040_Diver.gif,sounds/IADSPA/351_Applause.mp3,images/NI/3110_BurnVictim.gif,sounds/IADSNA/277_FemScream3.mp3,1,4,6,2,L,L,R,L,L,R,L,R,R,-3,0
89,2,0,images/NI/2205_Hospital.gif,sounds/IADSNA/287_CardiacArrest.mp3,images/PI/1340_Women.gif,sounds/IADSPA/226_Laughing.mp3,1,4,6,2,R,L,L,L,L,R,R,R,L,4,1
90,4,0,images/NI/3062_Mutilation.gif,sounds/Freesound/Anguish.mp3,images/PI/2500_Man.gif,sounds/IADSPA/270_Whistling.mp3,1,4,6,2,L,R,L,R,R,L,R,L,R,-2,1
91,,,,,,,,,,,,,,,,,,,,,
