Time,Event,Image,Sound
767302,response_R,-1,
767478,response_R,0,
767606,response_R,1,
767751,response_R,2,
768007,response_R,3,
768118,response_R,4,
768598,response_Lock,4,
770025,program_stimulus_image,images/NI/9050_PlaneCrash.gif,
770071,program_stimulus_sound,,sounds/IADSNA/501_PlaneCrash.mp3
776072,program_points_screen,,
776121,program_stimulus_sound,,sounds/reward/bigReward.mp3
778121,program_fixation_screen,,
779121,trial,60,
779121,program_decision_screen,,
780278,response_L,-1,
780486,response_L,-2,
780678,response_L,-3,
780886,response_L,-4,
781238,response_Lock,-4,
783174,program_stimulus_image,images/NI/2141_GrievingFem.gif,
783225,program_stimulus_sound,,sounds/AudioMicro/WomanCrying.mp3
789226,program_points_screen,,
789275,program_stimulus_sound,,sounds/reward/bigReward.mp3
791277,program_fixation_screen,,
792277,trial,61,
792277,program_decision_screen,,
793463,response_L,-1,
793702,response_L,-2,
793894,response_L,-3,
794070,response_L,-4,
794502,response_Lock,-4,
796348,program_stimulus_image,images/PI/2150_Baby.gif,
796392,program_stimulus_sound,,sounds/IADSPA/111_MusicBox.mp3
802394,program_points_screen,,
802448,program_stimulus_sound,,sounds/reward/smallReward.mp3
804449,program_fixation_screen,,
805450,trial,62,
805450,program_decision_screen,,
805990,response_R,-3,
806198,response_R,-2,
806390,response_R,-1,
806550,response_R,0,
807750,response_R,1,
807926,response_R,2,
808022,response_R,3,
808230,response_R,4,
808422,response_Lock,4,
809532,program_stimulus_image,images/PI/8116_Football.gif,
809577,program_stimulus_sound,,sounds/IADSPA/362_Football.mp3
815580,program_points_screen,,
815624,program_stimulus_sound,,sounds/reward/bigReward.mp3
817625,program_fixation_screen,,
818625,trial,63,
818625,program_decision_screen,,
819830,response_Lock,-4,
822722,program_stimulus_image,images/PI/7140_Bus.gif,
822767,program_stimulus_sound,,sounds/IADSPA/820_FunkMusic.mp3
828769,program_points_screen,,
828819,program_stimulus_sound,,sounds/reward/smallReward.mp3
830820,program_fixation_screen,,
831821,trial,64,
831823,program_decision_screen,,
832469,response_Lock,2,
832758,response_Lock,2,
835876,program_stimulus_image,images/NI/9420_Soldier.gif,
835980,program_stimulus_sound,,sounds/IADSNA/706_War.mp3
841980,program_points_screen,,
842041,program_stimulus_sound,,sounds/reward/bigReward.mp3
844043,program_fixation_screen,,
845044,trial,65,
845044,program_decision_screen,,
846294,response_R,-1,
846534,response_R,0,
846742,response_R,1,
847062,response_Lock,1,
849133,program_stimulus_image,images/NI/9433_DeadMan.gif,
849258,program_stimulus_sound,,sounds/Freesound/Fall_Screaming.mp3
855260,program_points_screen,,
855310,program_stimulus_sound,,sounds/reward/bigReward.mp3
857312,program_fixation_screen,,
858312,trial,66,
858312,program_decision_screen,,
859462,response_L,-4,
859782,response_Lock,-4,
862368,program_stimulus_image,images/NI/9520_Kids.gif,
862417,program_stimulus_sound,,sounds/IADSNA/712_Buzzer.mp3
868418,program_points_screen,,
868465,program_stimulus_sound,,sounds/reward/bigReward.mp3
870466,program_fixation_screen,,
871466,trial,67,
871466,program_decision_screen,,
872486,response_L,1,
872694,response_L,0,
872998,response_L,-1,
873174,response_L,-2,
873269,response_L,-3,
873462,response_L,-4,
874101,response_Lock,-4,
875527,program_stimulus_image,images/NI/3530_Attack.gif,
875574,program_stimulus_sound,,sounds/IADSNA/286_Victim.mp3
881576,program_points_screen,,
881617,program_stimulus_sound,,sounds/reward/bigReward.mp3
883619,program_fixation_screen,,
884620,trial,68,
884620,program_decision_screen,,
885206,response_R,1,
885414,response_R,2,
885637,response_R,3,
885813,response_R,4,
886166,response_Lock,4,
888672,program_stimulus_image,images/NI/9910_AutoAccident.gif,
888757,program_stimulus_sound,,sounds/IADSNA/424_Carwreck.mp3
894758,program_points_screen,,
894801,program_stimulus_sound,,sounds/reward/bigReward.mp3
896802,program_fixation_screen,,
897803,trial,69,
897803,program_decision_screen,,
898517,response_R,4,
899013,response_Lock,4,
901854,program_stimulus_image,images/PI/2487_Musician.gif,
901899,program_stimulus_sound,,sounds/Freesound/nylon2.mp3
907899,program_points_screen,,
907947,program_stimulus_sound,,sounds/reward/bigReward.mp3
909949,program_fixation_screen,,
910950,trial,70,
910950,program_decision_screen,,
912149,response_R,3,
912374,response_R,4,
912661,response_Lock,4,
915002,program_stimulus_image,images/PI/2560_Picnic.gif,
915110,program_stimulus_sound,,sounds/IADSPA/230_Giggling.mp3
921111,program_points_screen,,
921169,program_stimulus_sound,,sounds/reward/smallReward.mp3
923172,program_fixation_screen,,
924172,trial,71,
924172,program_decision_screen,,
925093,response_Lock,3,
928225,program_stimulus_image,images/NI/3230_DyingMan.gif,
928272,program_stimulus_sound,,sounds/Freesound/EKG.mp3
934273,program_points_screen,,
934305,program_stimulus_sound,,sounds/reward/bigReward.mp3
936308,program_fixation_screen,,
937309,trial,72,
937309,program_decision_screen,,
937701,response_Lock,0,
941363,program_stimulus_image,images/PI/2020_Adult.gif,
941407,program_stimulus_sound,,sounds/Freesound/Manlaughing_hard.mp3
947410,program_points_screen,,
947471,program_stimulus_sound,,sounds/reward/smallReward.mp3
949473,program_fixation_screen,,
950473,trial,73,
950473,program_decision_screen,,
951174,response_R,2,
951781,response_R,3,
951973,response_R,4,
952453,response_Lock,4,
954511,program_stimulus_image,images/NI/3130_Mutilation.gif,
954549,program_stimulus_sound,,sounds/Freesound/mandying.mp3
960549,program_points_screen,,
960595,program_stimulus_sound,,sounds/reward/bigReward.mp3
962597,program_fixation_screen,,
963599,trial,74,
963599,program_decision_screen,,
964565,response_L,1,
965589,response_L,0,
965909,response_L,-1,
966069,response_L,-2,
966213,response_L,-3,
966373,response_L,-4,
966789,response_Lock,-4,
967660,program_stimulus_image,images/PI/2310_Mother.gif,
967705,program_stimulus_sound,,sounds/Freesound/eio.mp3
973707,program_points_screen,,
973753,program_stimulus_sound,,sounds/reward/smallReward.mp3
975754,program_fixation_screen,,
976754,trial,75,
976754,program_decision_screen,,
977797,response_R,-1,
