PtsOther,Negative Image Side (1=L and 0=R),StartPos (starting position of the avatar),EndPos (end position of the avatar),InitialRT (reaction time for initial response),TotalRT (total time until they lock in response will be 4 seconds if they do not lock in),OutcomePts (Pts received),OutcomeImage (image shown),Piname (name of positive image file),Niname (name of negative image file),Paname (name of positive audio file),Naname (name of negative audio file),Oscillations (# made opposite movement from last)
0,L,-2,2,1042,1874,0,images/PI/4603_Romance.gif,images/PI/4603_Romance.gif,images/NI/6560_Attack.gif,sounds/IADSPA/230_Giggling.mp3,sounds/IADSNA/279_Attack1.mp3,1
2,R,-1,3,734,1934,0,images/PI/4598_Couple.gif,images/PI/4598_Couple.gif,images/NI/9421_Soldier.gif,sounds/Freesound/manlaugh.mp3,sounds/AudioMicro/ManCrying.mp3,1
0,L,2,-4,1245,2653,4,images/NI/3080_Mutilation.gif,images/PI/2485_Man.gif,images/NI/3080_Mutilation.gif,sounds/IADSPA/811_Bach.mp3,sounds/IADSNA/287_CardiacArrest.mp3,1
0,L,-3,-4,535,1350,6,images/NI/3102_BurnVictim.gif,images/PI/8280_Diver.gif,images/NI/3102_BurnVictim.gif,sounds/PartnersinRhyme/Cheer.mp3,sounds/Freesound/Anguish.mp3,1
0,L,-3,-4,640,1169,2,images/PI/5455_Cockpit.gif,images/PI/5455_Cockpit.gif,images/PI/5455_Cockpit.gif,sounds/Freesound/atc6.mp3,sounds/Freesound/atc6.mp3,1
0,R,4,-2,1059,2643,0,images/NI/9921_Fire.gif,images/PI/2208_Bride.gif,images/NI/9921_Fire.gif,sounds/IADSPA/820_FunkMusic.mp3,sounds/Freesound/Hellfire.mp3,1
0,L,1,1,0,711,6,images/NI/2800_SadChild.gif,images/PI/2240_NeutChild.gif,images/NI/2800_SadChild.gif,sounds/IADSPA/225_ClapGame.mp3,sounds/Freesound/three_chords.mp3,0
0,R,-3,4,905,2632,2,images/NI/6350_Attack.gif,images/PI/4700_Couple.gif,images/NI/6350_Attack.gif,sounds/Freesound/mansighs.mp3,sounds/IADSNA/285_Attack2.mp3,1
0,L,-3,-3,0,1300,0,images/NI/9265_HungMan.gif,images/PI/8050_Rower.gif,images/NI/9265_HungMan.gif,sounds/Freesound/rower.mp3,sounds/Freesound/mandying.mp3,0
0,L,-1,4,1687,3080,2,images/PI/5201_Nature.gif,images/PI/5201_Nature.gif,images/PI/5201_Nature.gif,sounds/IADSPA/152_Tropical.mp3,sounds/IADSPA/152_Tropical.mp3,1
0,L,3,-4,1103,2639,4,images/NI/3150_Mutilation.gif,images/PI/7503_carddealer.gif,images/NI/3150_Mutilation.gif,sounds/IADSPA/361_Restaurant.mp3,sounds/Freesound/panic&pain.mp3,1
0,R,-1,-1,0,1185,0,images/NI/9252_DeadBody.gif,images/PI/7496_Street.gif,images/NI/9252_DeadBody.gif,sounds/Freesound/Tibetstreet.mp3,sounds/IADSNA/292_MaleScream.mp3,0
0,L,-4,-4,0,1381,2,images/PI/2372_Woman.gif,images/PI/2372_Woman.gif,images/PI/2372_Woman.gif,sounds/Freesound/chalkwriting.mp3,sounds/Freesound/chalkwriting.mp3,0
0,R,-3,4,929,2448,6,images/NI/3110_BurnVictim.gif,images/PI/8040_Diver.gif,images/NI/3110_BurnVictim.gif,sounds/IADSPA/351_Applause.mp3,sounds/IADSNA/277_FemScream3.mp3,1
2,L,4,-4,1136,3025,0,images/PI/1340_Women.gif,images/PI/1340_Women.gif,images/NI/2205_Hospital.gif,sounds/IADSPA/226_Laughing.mp3,sounds/IADSNA/287_CardiacArrest.mp3,1
0,L,-2,-4,1019,1612,4,images/NI/3062_Mutilation.gif,images/PI/2500_Man.gif,images/NI/3062_Mutilation.gif,sounds/IADSPA/270_Whistling.mp3,sounds/Freesound/Anguish.mp3,1
